Type,Runtime,Location,Date
Container,1.946563,MA,1/14/2020
API,0.152694,MA,1/14/2020
Container,0.010993,MA,1/14/2020
API,0.148231,MA,1/14/2020
Container,0.011026,MA,1/14/2020
API,0.140963,MA,1/14/2020
Container,0.008974,MA,1/14/2020
API,0.139679,MA,1/14/2020
Container,0.009003,MA,1/14/2020
API,0.133645,MA,1/14/2020
Container,0.008997,MA,1/14/2020
API,0.140186,MA,1/14/2020
Container,0.007999,MA,1/14/2020
API,0.143856,MA,1/14/2020
Container,0.012012,MA,1/14/2020
API,0.134208,MA,1/14/2020
Container,0.008987,MA,1/14/2020
API,0.139646,MA,1/14/2020
Container,0.008777,MA,1/14/2020
API,0.132413,MA,1/14/2020
Container,0.008999,MA,1/14/2020
API,0.141279,MA,1/14/2020
Container,0.008001,MA,1/14/2020
API,0.144071,MA,1/14/2020
Container,0.009002,MA,1/14/2020
API,0.139833,MA,1/14/2020
Container,0.00801,MA,1/14/2020
API,0.142391,MA,1/14/2020
Container,0.00899,MA,1/14/2020
API,0.141145,MA,1/14/2020
Container,0.009095,MA,1/14/2020
API,0.138761,MA,1/14/2020
Container,0.007903,MA,1/14/2020
API,0.142721,MA,1/14/2020
Container,0.008001,MA,1/14/2020
API,0.140277,MA,1/14/2020
Container,0.007996,MA,1/14/2020
API,0.137701,MA,1/14/2020
Container,0.009004,MA,1/14/2020
API,0.141726,MA,1/14/2020
Container,0.007177,MA,1/14/2020
API,0.138225,MA,1/14/2020
Container,0.007581,MA,1/14/2020
API,0.137463,MA,1/14/2020
Container,0.007999,MA,1/14/2020
API,0.138193,MA,1/14/2020
Container,0.011,MA,1/14/2020
API,0.139372,MA,1/14/2020
Container,0.008003,MA,1/14/2020
API,0.138498,MA,1/14/2020
Container,0.006998,MA,1/14/2020
API,0.140682,MA,1/14/2020
Container,0.007999,MA,1/14/2020
API,0.137002,MA,1/14/2020
Container,0.008,MA,1/14/2020
API,0.158934,MA,1/14/2020
Container,0.007965,MA,1/14/2020
API,0.134742,MA,1/14/2020
Container,0.007,MA,1/14/2020
API,0.12556,MA,1/14/2020
Container,0.007,MA,1/14/2020
API,0.140048,MA,1/14/2020
Container,0.008003,MA,1/14/2020
API,0.143336,MA,1/14/2020
Container,0.007995,MA,1/14/2020
API,0.142305,MA,1/14/2020
Container,0.008006,MA,1/14/2020
API,0.128965,MA,1/14/2020
Container,0.007996,MA,1/14/2020
API,0.128641,MA,1/14/2020
Container,0.007001,MA,1/14/2020
API,0.134528,MA,1/14/2020
Container,0.008996,MA,1/14/2020
API,0.141094,MA,1/14/2020
Container,0.013439,MA,1/14/2020
API,0.137988,MA,1/14/2020
Container,0.009004,MA,1/14/2020
API,0.131017,MA,1/14/2020
Container,0.007998,MA,1/14/2020
API,0.131385,MA,1/14/2020
Container,0.009,MA,1/14/2020
API,0.139857,MA,1/14/2020
Container,0.0091,MA,1/14/2020
API,0.139767,MA,1/14/2020
Container,0.008901,MA,1/14/2020
API,0.142143,MA,1/14/2020
Container,0.008002,MA,1/14/2020
API,0.131398,MA,1/14/2020
Container,0.008997,MA,1/14/2020
API,0.136378,MA,1/14/2020
Container,0.009011,MA,1/14/2020
API,0.136855,MA,1/14/2020
Container,0.007989,MA,1/14/2020
API,0.135083,MA,1/14/2020
Container,0.007998,MA,1/14/2020
API,0.125775,MA,1/14/2020
Container,0.009001,MA,1/14/2020
API,0.129042,MA,1/14/2020
Container,0.010998,MA,1/14/2020
API,0.128988,MA,1/14/2020
Container,0.009001,MA,1/14/2020
API,0.132754,MA,1/14/2020
Container,0.008,MA,1/14/2020
API,0.133859,MA,1/14/2020
Container,0.008999,MA,1/14/2020
API,0.134839,MA,1/14/2020
Container,0.009001,MA,1/14/2020
API,0.148411,MA,1/14/2020
Container,0.008439,MA,1/14/2020
API,0.13013,MA,1/14/2020
Container,0.009054,MA,1/14/2020
