Type,Runtime,Location,Date
Container,0.089031,MA,1/14/2020
API,0.234957,MA,1/14/2020
Container,0.006985,MA,1/14/2020
API,0.195432,MA,1/14/2020
Container,0.005996,MA,1/14/2020
API,0.241765,MA,1/14/2020
Container,0.006003,MA,1/14/2020
API,0.191403,MA,1/14/2020
Container,0.005995,MA,1/14/2020
API,0.234262,MA,1/14/2020
Container,0.006003,MA,1/14/2020
API,0.19571,MA,1/14/2020
Container,0.005001,MA,1/14/2020
API,0.239485,MA,1/14/2020
Container,0.003997,MA,1/14/2020
API,0.206986,MA,1/14/2020
Container,0.005002,MA,1/14/2020
API,0.230182,MA,1/14/2020
Container,0.004,MA,1/14/2020
API,0.228198,MA,1/14/2020
Container,0.004999,MA,1/14/2020
API,0.225016,MA,1/14/2020
Container,0.004,MA,1/14/2020
API,0.287508,MA,1/14/2020
Container,0.004035,MA,1/14/2020
API,0.243978,MA,1/14/2020
Container,0.003966,MA,1/14/2020
API,0.224482,MA,1/14/2020
Container,0.005001,MA,1/14/2020
API,0.227927,MA,1/14/2020
Container,0.005,MA,1/14/2020
API,0.216603,MA,1/14/2020
Container,0.004003,MA,1/14/2020
API,0.224257,MA,1/14/2020
Container,0.003999,MA,1/14/2020
API,0.234845,MA,1/14/2020
Container,0.005,MA,1/14/2020
API,0.239754,MA,1/14/2020
Container,0.003996,MA,1/14/2020
API,0.241047,MA,1/14/2020
Container,0.005,MA,1/14/2020
API,0.213198,MA,1/14/2020
Container,0.004005,MA,1/14/2020
API,0.20827,MA,1/14/2020
Container,0.006075,MA,1/14/2020
API,0.227499,MA,1/14/2020
Container,0.005957,MA,1/14/2020
API,0.209867,MA,1/14/2020
Container,0.006967,MA,1/14/2020
API,0.199892,MA,1/14/2020
Container,0.006002,MA,1/14/2020
API,0.204449,MA,1/14/2020
Container,0.005993,MA,1/14/2020
API,0.205412,MA,1/14/2020
Container,0.006005,MA,1/14/2020
API,0.222125,MA,1/14/2020
Container,0.004998,MA,1/14/2020
API,0.209581,MA,1/14/2020
Container,0.005999,MA,1/14/2020
API,0.210912,MA,1/14/2020
Container,0.006005,MA,1/14/2020
API,0.224504,MA,1/14/2020
Container,0.006997,MA,1/14/2020
API,0.236947,MA,1/14/2020
Container,0.006,MA,1/14/2020
API,0.228934,MA,1/14/2020
Container,0.005054,MA,1/14/2020
API,0.239812,MA,1/14/2020
Container,0.005944,MA,1/14/2020
API,0.23677,MA,1/14/2020
Container,0.006002,MA,1/14/2020
API,0.230896,MA,1/14/2020
Container,0.005001,MA,1/14/2020
API,0.236815,MA,1/14/2020
Container,0.006018,MA,1/14/2020
API,0.216813,MA,1/14/2020
Container,0.004995,MA,1/14/2020
API,0.213223,MA,1/14/2020
Container,0.007003,MA,1/14/2020
API,0.344152,MA,1/14/2020
Container,0.005996,MA,1/14/2020
API,0.240573,MA,1/14/2020
Container,0.006,MA,1/14/2020
API,0.237979,MA,1/14/2020
Container,0.006024,MA,1/14/2020
API,0.21266,MA,1/14/2020
Container,0.00598,MA,1/14/2020
API,0.211554,MA,1/14/2020
