Type,Runtime,Location,Date
Container,  0.005994,MA,2020-01-14
API,  0.187341,MA,2020-01-14
Container,  0.005001,MA,2020-01-14
API,  0.136697,MA,2020-01-14
Container,  0.005002,MA,2020-01-14
API,  0.146771,MA,2020-01-14
Container,  0.004001,MA,2020-01-14
API,  0.140447,MA,2020-01-14
Container,  0.004001,MA,2020-01-14
API,  0.141171,MA,2020-01-14
Container,  0.004009,MA,2020-01-14
API,  0.130265,MA,2020-01-14
Container,  0.003987,MA,2020-01-14
API,  0.139765,MA,2020-01-14
Container,  0.003999,MA,2020-01-14
API,  0.138674,MA,2020-01-14
Container,  0.004000,MA,2020-01-14
API,  0.145998,MA,2020-01-14
Container,  0.003003,MA,2020-01-14
API,  0.143574,MA,2020-01-14
Container,  0.003997,MA,2020-01-14
API,  0.138420,MA,2020-01-14
Container,  0.004000,MA,2020-01-14
API,  0.139363,MA,2020-01-14
Container,  0.004000,MA,2020-01-14
API,  0.138976,MA,2020-01-14
Container,  0.004004,MA,2020-01-14
API,  0.141064,MA,2020-01-14
Container,  0.002999,MA,2020-01-14
API,  0.141219,MA,2020-01-14
Container,  0.003997,MA,2020-01-14
API,  0.143439,MA,2020-01-14
Container,  0.004000,MA,2020-01-14
API,  0.141397,MA,2020-01-14
Container,  0.003003,MA,2020-01-14
API,  0.136928,MA,2020-01-14
Container,  0.003996,MA,2020-01-14
API,  0.134983,MA,2020-01-14
Container,  0.003003,MA,2020-01-14
API,  0.143530,MA,2020-01-14
Container,  0.006001,MA,2020-01-14
API,  0.186447,MA,2020-01-14
Container,  0.004996,MA,2020-01-14
API,  0.135202,MA,2020-01-14
Container,  0.004002,MA,2020-01-14
API,  0.145099,MA,2020-01-14
Container,  0.005000,MA,2020-01-14
API,  0.147631,MA,2020-01-14
Container,  0.005005,MA,2020-01-14
API,  0.137238,MA,2020-01-14
Container,  0.004993,MA,2020-01-14
API,  0.138445,MA,2020-01-14
Container,  0.004000,MA,2020-01-14
API,  0.137870,MA,2020-01-14
Container,  0.004002,MA,2020-01-14
API,  0.139179,MA,2020-01-14
Container,  0.007998,MA,2020-01-14
API,  0.138433,MA,2020-01-14
Container,  0.005000,MA,2020-01-14
API,  0.143471,MA,2020-01-14
Container,  0.004002,MA,2020-01-14
API,  0.140409,MA,2020-01-14
Container,  0.005001,MA,2020-01-14
API,  0.153698,MA,2020-01-14
Container,  0.004997,MA,2020-01-14
API,  0.145178,MA,2020-01-14
Container,  0.004003,MA,2020-01-14
API,  0.132995,MA,2020-01-14
Container,  0.004997,MA,2020-01-14
API,  0.122001,MA,2020-01-14
Container,  0.005000,MA,2020-01-14
API,  0.124137,MA,2020-01-14
Container,  0.004002,MA,2020-01-14
API,  0.137629,MA,2020-01-14
Container,  0.004007,MA,2020-01-14
API,  0.144511,MA,2020-01-14
Container,  0.004992,MA,2020-01-14
API,  0.142737,MA,2020-01-14
Container,  0.004003,MA,2020-01-14
API,  0.138800,MA,2020-01-14
Container,  0.005095,MA,2020-01-14
API,  0.180938,MA,2020-01-14
Container,  0.005908,MA,2020-01-14
API,  0.141274,MA,2020-01-14
Container,  0.004000,MA,2020-01-14
API,  0.124632,MA,2020-01-14
Container,  0.005001,MA,2020-01-14
API,  0.143764,MA,2020-01-14
Container,  0.003997,MA,2020-01-14
API,  0.149084,MA,2020-01-14
Container,  0.004001,MA,2020-01-14
API,  0.240002,MA,2020-01-14
Container,  0.004999,MA,2020-01-14
API,  0.128068,MA,2020-01-14
Container,  0.004999,MA,2020-01-14
API,  0.137093,MA,2020-01-14
Container,  0.005571,MA,2020-01-14
API,  0.134136,MA,2020-01-14
Container,  0.005993,MA,2020-01-14
API,  0.140754,MA,2020-01-14
Container,  0.005000,MA,2020-01-14
API,  0.136378,MA,2020-01-14
Container,  0.005004,MA,2020-01-14
API,  0.139279,MA,2020-01-14
Container,  0.004995,MA,2020-01-14
API,  0.137763,MA,2020-01-14
Container,  0.004007,MA,2020-01-14
API,  0.139490,MA,2020-01-14
Container,  0.004992,MA,2020-01-14
API,  0.150176,MA,2020-01-14
Container,  0.004004,MA,2020-01-14
API,  0.141256,MA,2020-01-14
Container,  0.004996,MA,2020-01-14
API,  0.187526,MA,2020-01-14
Container,  0.004003,MA,2020-01-14
API,  0.142668,MA,2020-01-14
Container,  0.006001,MA,2020-01-14
API,  0.139527,MA,2020-01-14
Container,  0.004013,MA,2020-01-14
API,  0.134557,MA,2020-01-14
Container,  0.005997,MA,2020-01-14
API,  0.154687,MA,2020-01-14
Container,  0.005001,MA,2020-01-14
API,  0.124744,MA,2020-01-14
Container,  0.003998,MA,2020-01-14
API,  0.139921,MA,2020-01-14
Container,  0.005000,MA,2020-01-14
API,  0.138304,MA,2020-01-14
Container,  0.004000,MA,2020-01-14
API,  0.120543,MA,2020-01-14
Container,  0.004000,MA,2020-01-14
API,  0.141171,MA,2020-01-14
Container,  0.004000,MA,2020-01-14
API,  0.135256,MA,2020-01-14
Container,  0.005000,MA,2020-01-14
API,  0.143391,MA,2020-01-14
Container,  0.004000,MA,2020-01-14
API,  0.142133,MA,2020-01-14
Container,  0.004000,MA,2020-01-14
API,  0.144068,MA,2020-01-14
Container,  0.004004,MA,2020-01-14
API,  0.140373,MA,2020-01-14
Container,  0.003997,MA,2020-01-14
API,  0.141908,MA,2020-01-14
Container,  0.005000,MA,2020-01-14
API,  0.143724,MA,2020-01-14
Container,  0.003999,MA,2020-01-14
API,  0.138440,MA,2020-01-14
Container,  0.004000,MA,2020-01-14
API,  0.139403,MA,2020-01-14
Container,  0.004000,MA,2020-01-14
API,  0.138934,MA,2020-01-14
Container,  0.005001,MA,2020-01-14
API,  0.136102,MA,2020-01-14
Container,  0.003999,MA,2020-01-14
API,  0.137251,MA,2020-01-14
Container,  0.004011,MA,2020-01-14
API,  0.126927,MA,2020-01-14
Container,  0.003989,MA,2020-01-14
API,  0.130950,MA,2020-01-14
Container,  0.005002,MA,2020-01-14
API,  0.129011,MA,2020-01-14
Container,  0.003999,MA,2020-01-14
API,  0.124986,MA,2020-01-14
Container,  0.004000,MA,2020-01-14
API,  0.131979,MA,2020-01-14
Container,  0.005003,MA,2020-01-14
API,  0.199065,MA,2020-01-14
Container,  0.003997,MA,2020-01-14
API,  0.145030,MA,2020-01-14
Container,  0.004000,MA,2020-01-14
API,  0.135976,MA,2020-01-14
Container,  0.004004,MA,2020-01-14
API,  0.140911,MA,2020-01-14
Container,  0.004916,MA,2020-01-14
API,  0.140826,MA,2020-01-14
Container,  0.004000,MA,2020-01-14
API,  0.142117,MA,2020-01-14
Container,  0.004019,MA,2020-01-14
API,  0.142726,MA,2020-01-14
Container,  0.004981,MA,2020-01-14
API,  0.133288,MA,2020-01-14
Container,  0.005000,MA,2020-01-14
API,  0.139218,MA,2020-01-14
Container,  0.004004,MA,2020-01-14
API,  0.143728,MA,2020-01-14
Container,  0.004996,MA,2020-01-14
API,  0.141462,MA,2020-01-14
Container,  0.003539,MA,2020-01-14
API,  0.133923,MA,2020-01-14
Container,  0.003999,MA,2020-01-14
API,  0.138345,MA,2020-01-14
Container,  0.004980,MA,2020-01-14
API,  0.141748,MA,2020-01-14
Container,  0.003998,MA,2020-01-14
API,  0.136871,MA,2020-01-14
Container,  0.004022,MA,2020-01-14
API,  0.131556,MA,2020-01-14
Container,  0.004000,MA,2020-01-14
API,  0.262458,MA,2020-01-14
Container,  0.003999,MA,2020-01-14
API,  0.139720,MA,2020-01-14
Container,  0.004021,MA,2020-01-14
API,  0.142727,MA,2020-01-14
Container,  0.004001,MA,2020-01-14
API,  0.141272,MA,2020-01-14
Container,  0.004981,MA,2020-01-14
API,  0.139989,MA,2020-01-14
Container,  0.003999,MA,2020-01-14
API,  0.142108,MA,2020-01-14
Container,  0.004000,MA,2020-01-14
API,  0.138694,MA,2020-01-14
Container,  0.004024,MA,2020-01-14
API,  0.189450,MA,2020-01-14
Container,  0.004976,MA,2020-01-14
API,  0.136824,MA,2020-01-14
Container,  0.005021,MA,2020-01-14
API,  0.143390,MA,2020-01-14
Container,  0.003979,MA,2020-01-14
API,  0.148512,MA,2020-01-14
Container,  0.006000,MA,2020-01-14
API,  0.243743,MA,2020-01-14
Container,  0.005005,MA,2020-01-14
API,  0.121174,MA,2020-01-14
Container,  0.005993,MA,2020-01-14
API,  0.146206,MA,2020-01-14
Container,  0.004003,MA,2020-01-14
API,  0.204006,MA,2020-01-14
Container,  0.005166,MA,2020-01-14
API,  0.132644,MA,2020-01-14
Container,  0.005003,MA,2020-01-14
API,  0.117988,MA,2020-01-14
Container,  0.004997,MA,2020-01-14
API,  0.122912,MA,2020-01-14
Container,  0.004004,MA,2020-01-14
API,  0.129493,MA,2020-01-14
Container,  0.005996,MA,2020-01-14
API,  0.125543,MA,2020-01-14
Container,  0.005000,MA,2020-01-14
API,  0.120845,MA,2020-01-14
Container,  0.005019,MA,2020-01-14
API,  0.149621,MA,2020-01-14
Container,  0.004981,MA,2020-01-14
API,  0.127156,MA,2020-01-14
Container,  0.005022,MA,2020-01-14
API,  0.163426,MA,2020-01-14
Container,  0.004979,MA,2020-01-14
API,  0.112493,MA,2020-01-14
Container,  0.004999,MA,2020-01-14
API,  0.185257,MA,2020-01-14
Container,  0.005001,MA,2020-01-14
API,  0.108693,MA,2020-01-14
Container,  0.005000,MA,2020-01-14
API,  0.110026,MA,2020-01-14
Container,  0.004006,MA,2020-01-14
API,  0.104925,MA,2020-01-14
Container,  0.005993,MA,2020-01-14
API,  0.125742,MA,2020-01-14
Container,  0.005000,MA,2020-01-14
API,  0.123993,MA,2020-01-14
Container,  0.005000,MA,2020-01-14
API,  0.119989,MA,2020-01-14
Container,  0.004004,MA,2020-01-14
API,  0.120367,MA,2020-01-14
Container,  0.004997,MA,2020-01-14
API,  0.120497,MA,2020-01-14
Container,  0.005005,MA,2020-01-14
API,  0.126080,MA,2020-01-14
Container,  0.004994,MA,2020-01-14
API,  0.181971,MA,2020-01-14
Container,  0.004004,MA,2020-01-14
API,  0.128606,MA,2020-01-14
Container,  0.004996,MA,2020-01-14
API,  0.123480,MA,2020-01-14
Container,  0.005000,MA,2020-01-14
API,  0.122634,MA,2020-01-14
Container,  0.004999,MA,2020-01-14
API,  0.118259,MA,2020-01-14
Container,  0.006002,MA,2020-01-14
API,  0.121850,MA,2020-01-14
Container,  0.006999,MA,2020-01-14
API,  0.125336,MA,2020-01-14
Container,  0.005000,MA,2020-01-14
API,  0.121005,MA,2020-01-14
Container,  0.004012,MA,2020-01-14
API,  0.142726,MA,2020-01-14
Container,  0.004986,MA,2020-01-14
API,  0.126244,MA,2020-01-14
Container,  0.005005,MA,2020-01-14
API,  0.135177,MA,2020-01-14
Container,  0.005997,MA,2020-01-14
API,  0.193039,MA,2020-01-14
Container,  0.004998,MA,2020-01-14
API,  0.135717,MA,2020-01-14
Container,  0.004999,MA,2020-01-14
API,  0.127824,MA,2020-01-14
Container,  0.004000,MA,2020-01-14
API,  0.123647,MA,2020-01-14
Container,  0.005002,MA,2020-01-14
API,  0.123773,MA,2020-01-14
Container,  0.004002,MA,2020-01-14
API,  0.116939,MA,2020-01-14
Container,  0.003996,MA,2020-01-14
API,  0.108718,MA,2020-01-14
Container,  0.004001,MA,2020-01-14
API,  0.111134,MA,2020-01-14
Container,  0.004001,MA,2020-01-14
API,  0.197792,MA,2020-01-14
Container,  0.003999,MA,2020-01-14
API,  0.113460,MA,2020-01-14
Container,  0.004000,MA,2020-01-14
API,  0.125032,MA,2020-01-14
